keyword_or_keyphrase,methods_found,method_count,method_agreement_score,total_frequency,document_frequency,tfidf_score_normalized,yake_score_normalized,frequency_score_normalized,document_frequency_score,composite_score,category,review_label,review_reason,example_article_number,example_article_title,example_url,example_context,example_article_id,example_domain,example_publication_date,example_relevance_label,example_relevance_score,example_query_used,example_word_count
samples of different edible,yake,1,0.333333,1,1,0.0,0.140566,0.002183,0.009804,0.070273,other_candidate,drop,low score or outside edible-oil/adulteration scope,82,"FSSAI says 2.42% of 4,461 different edible oils samples found to be of sub-standard quality",https://www.financialexpress.com/industry/fssai-says-2-42-of-4461-different-edible-oils-samples-found-to-be-of-sub-standard-quality/2393346/,"About 2.42 per cent of the 4,461 samples of different edible oils from 587 districts and four metros are found to be non-compliant with safety parameters, food safety reg...",65f90863-f6a1-4747-8abd-aef4e7d59ca4,financialexpress.com,2021-12-29,relevant,0.95,"""mustard oil"" adulteration India",466
samples of the adulterated,yake,1,0.333333,1,1,0.0,0.139616,0.002183,0.009804,0.070035,adulteration/fraud,drop,weak domain term below threshold,19,"Factory producing 80,000 litres adulterated milk daily busted in Diggi | Jaipur News - The Times of India",https://timesofindia.indiatimes.com/city/jaipur/factory-producing-80000-litres-adulterated-milk-daily-busted-in-diggi/articleshow/127892796.cms,"...a said Diggi police had registered a case in the matter and a team from the food safety department colllected samples of the adulterated milk from the factory. Those arrested were identified as Kalu, 22, resident of Tonk, Raju, 21, Mahipal, 22, S...",6bb10c09-3aa4-4c2e-9bc6-c53c00f4c73e,timesofindia.indiatimes.com,2026-02-04,relevant,0.9,"""oil"" ""food safety"" ""seized"" India",203
samples of other edible,yake,1,0.333333,1,1,0.0,0.139001,0.002183,0.009804,0.069882,other_candidate,drop,low score or outside edible-oil/adulteration scope,63,Oil Worth â¹40 Lakh Seized On Suspicion Of Adulteration | Kanpur News - Times of India,https://timesofindia.indiatimes.com/city/kanpur/oil-worth-40-lakh-seized-on-suspicion-of-adulteration/articleshow/105083122.cms,"...vedi, chief food security officer, who had led the raiding team not only seized the oil but also collected 26 samples of other edible items and sent them to the lab for examination. Appropriate proceedings would be initiated against the vendor...",d8a3c6a7-c8a8-4bf6-a58f-a3014560b98e,timesofindia.indiatimes.com,2023-11-09,relevant,0.95,"""edible oil"" adulteration India",534
samples of the seized,yake,1,0.333333,1,1,0.0,0.135627,0.002183,0.009804,0.069038,enforcement/evidence,drop,weak domain term below threshold,3,FDA seizes 3.4 tonnes of suspect chemically ripened mangoes at APMC,https://www.hindustantimes.com/cities/mumbai-news/fda-seizes-3-4-tonnes-of-suspect-chemically-ripened-mangoes-at-apmc-101780427156417.html,"...aid inspections at the APMC market revealed the alleged use of ethylene-like sprays to hasten mango ripening. Samples of the seized mangoes have been sent for laboratory testing, and further action will depend on the findings. Officials clar...",79f1b622-bb63-4727-aa20-b31d9e3baf17,hindustantimes.com,2026-06-03,relevant,0.95,"""edible oil"" adulteration India",503
paneer could be fake,yake,1,0.333333,1,1,0.0,0.134222,0.002183,0.009804,0.068687,adulteration/fraud,drop,non-oil food context without edible-oil signal,27,Noida: 500 kg fake paneer found before Diwali. Here's how to check the purity and what you can do to save yourself,https://economictimes.indiatimes.com/news/india/noida-500-kg-fake-paneer-found-before-diwali-heres-how-to-check-the-purity-and-what-you-can-do-to-save-yourself/articleshow/124524319.cms,"...oma. - Look at the Color - Genuine paneer is white or off-white. - Yellowish, dull, or unevenly colored paneer could be fake. - Genuine paneer is white or off-white. - Feel the Texture - Real paneer is soft, slightly springy,...",c1470c0d-36d5-4fed-aa71-3b7967e4bb44,economictimes.indiatimes.com,2025-10-13,irrelevant,,"""oil"" ""food safety"" ""seized"" India",497
sample from the seized,yake,1,0.333333,1,1,0.0,0.131341,0.002183,0.009804,0.067967,enforcement/evidence,drop,weak domain term below threshold,11,"1,400 kg fake khoya, 400 kilo expired ghee and paneer seized by FSSAI before Holi",https://economictimes.indiatimes.com/news/new-updates/1400-kg-fake-khoya-400-kilo-expired-ghee-and-paneer-seized-by-fssai-before-holi/articleshow/128938525.cms,"...Administration, the consignment was intercepted late at night at Jewar Toll Plaza on the Yamuna Expressway. A sample from the seized batch has been sent for laboratory testing, while the remaining stock was destroyed immediately to protect pu...",887860ed-e92c-4bb6-b293-55776d733ae3,economictimes.indiatimes.com,2026-03-02,relevant,0.95,"""cooking oil"" adulteration India",306
samples had been seized,yake,1,0.333333,1,1,0.0,0.129331,0.002183,0.009804,0.067464,enforcement/evidence,drop,weak domain term below threshold,73,Festive season: Spurious khoya seized from Ambala dairy - The Tribune,https://www.tribuneindia.com/news/chandigarh/festive-season-spurious-khoya-seized-from-ambala-dairy-440791,...Food Safety Officer Dr Rajeev Kumar said the raid was conducted following a complaint against the dairy. The samples had been seized and would be sent for testing. Around 20-kg khoya had been destroyed. Paneer and khoya were being prepared he...,d761b863-6eb3-44f6-891b-e4a87b141d85,tribuneindia.com,2022-10-13,irrelevant,,"""oil"" ""food safety"" ""seized"" India",285
singh said another fsda,yake,1,0.333333,1,1,0.0,0.118478,0.002183,0.009804,0.064751,other_candidate,drop,outside edible-oil/adulteration domain,28,Adulterated edible oil worth Rs53L seized in Kanpur raid | Kanpur News - The Times of India,https://timesofindia.indiatimes.com/city/kanpur/adulterated-edible-oil-worth-rs53l-seized-in-kanpur-raid/articleshow/124465364.cms,...ck stored in the godown was seized for further investigation. Assistant Commissioner (Food-II) Sanjay Pratap Singh said another FSDA team led by a food safety officer raided Satyam Sweet House in Maharajpur and destroyed 75 kilograms of subst...,6a1a60ef-a50f-4c7c-af5b-0f2671b1e679,timesofindia.indiatimes.com,2025-10-11,relevant,1.0,"FSDA ""edible oil"" seized",247
singh said the department,yake,1,0.333333,2,2,0.0,0.109152,0.004367,0.019608,0.064218,other_candidate,drop,outside edible-oil/adulteration domain,28,Adulterated edible oil worth Rs53L seized in Kanpur raid | Kanpur News - The Times of India,https://timesofindia.indiatimes.com/city/kanpur/adulterated-edible-oil-worth-rs53l-seized-in-kanpur-raid/articleshow/124465364.cms,"...awa made from substandard materials. Around 10kg vegetable fat worth Rs2,704 were also seized from the site. Singh said the department has launched a special campaign against adulteration and the sale of substandard food items to ensure the ava...",6a1a60ef-a50f-4c7c-af5b-0f2671b1e679,timesofindia.indiatimes.com,2025-10-11,relevant,1.0,"FSDA ""edible oil"" seized",247
products have been seized,yake,1,0.333333,1,1,0.0,0.106568,0.002183,0.009804,0.061774,enforcement/evidence,drop,weak domain term below threshold,61,"Crackdown on ‘halal’ products in UP: 2,275 kg of food items seized",https://indianexpress.com/article/cities/lucknow/crackdown-on-halal-products-in-up-2275-kg-of-food-items-seized-9040099/,"...in Uttar Pradesh, officials of the state’s Food and Safety Department on Thursday said that 2,275 kg of food products have been seized from across 38 districts and as many as 482 business establishments were inspected since the ban came into fo...",7bed14b9-d596-4978-819c-93bb7fc92f9b,indianexpress.com,2023-11-24,relevant,0.9,"""edible oil"" adulterated India",547
testing of various food,yake,1,0.333333,1,1,0.0,0.106091,0.002183,0.009804,0.061654,other_candidate,drop,outside edible-oil/adulteration domain,91,"FSSAI launches 'Food Safety on Wheels' initiative in Nubra Valley, conducts food testing at 17,582ft",https://www.bombaynews.net/news/274658791/fssai-launches-food-safety-on-wheels-initiative-in-nubra-valley-conducts-food-testing-at-17582ft,"...he primary objective of this drive was to ensure adherence to food safety standards by conducting on-the-spot testing of various food products, including milk, spices, and juices. ""Over the course of the two-day initiative, a total of 35 food...",b895d529-6598-47d1-811b-903f75336722,bombaynews.net,,relevant,0.6,"FSSAI ""edible oil"" India",383
home while the food,yake,1,0.333333,1,1,0.0,0.104007,0.002183,0.009804,0.061133,other_candidate,drop,outside edible-oil/adulteration domain,6,"Why did FSSAI bury 900 kg of paneer, worth â¹2.25 lakh, and why one has to be extra careful while buying it in summer - The Times of India",https://timesofindia.indiatimes.com/life-style/food-news/why-did-fssai-bury-900-kg-of-paneer-worth-2-25-lakh-and-why-one-has-to-be-extra-careful-while-buying-it-in-summer/articleshow/130602453.cms,...ssy. But the question of concern here is how to recognize fake paneer at home. How to check paneer purity at home While the Food Safety and Standards Authority of India (FSSAI) has issued many tests and measures to check adulteration in m...,04c3d3ec-4da1-4e65-89c4-d5775f1ec8de,timesofindia.indiatimes.com,2026-04-29,irrelevant,,"""palm oil"" adulteration India",709
standards act,phrase_frequency,1,0.333333,17,14,0.0,0.0,0.037118,0.137255,0.059489,other_candidate,drop,outside edible-oil/adulteration domain,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,"...t, a case has been registered at Hussainialam Police Station under relevant provisions of the Food Safety and Standards Act, 2006, and other applicable laws. In another case, the Hyderabad Commissioner's Task Force uncovered large-sc...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
assistant commissioner,phrase_frequency,1,0.333333,16,14,0.0,0.0,0.034934,0.137255,0.059162,other_candidate,drop,outside edible-oil/adulteration domain,2,FDA seizes energy drink stock worth Rs 56L over misbranding,https://timesofindia.indiatimes.com/city/aurangabad/fda-seizes-energy-drink-stock-worth-rs-56l-over-misbranding/articleshow/131489352.cms,"...j and Karodi belonging to a pharmaceutical and consumer healthcare firm manufacturing the drink. According to assistant commissioner with FDA, Chhatrapati Sambhajinagar, Dayanand Patil, the company violated regulations that prohibit the use o...",af5d5af3-49a7-43ed-9bad-0c1f703198e7,timesofindia.indiatimes.com,2026-06-04,relevant,0.9,"""edible oil"" adulteration India",386
raided,phrase_frequency,1,0.333333,17,13,0.0,0.0,0.037118,0.127451,0.058019,other_candidate,drop,low score or outside edible-oil/adulteration scope,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,"...idents, the Hyderabad Food Adulteration Surveillance Team (H-FAST), along with the Food Safety Officer (FSO), raided an unlicensed fast food godown in Charminar and the Hyderabad Commissioner's Task Force also conducted a raid...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
legal action,phrase_frequency,1,0.333333,12,11,0.0,0.0,0.026201,0.107843,0.05344,other_candidate,drop,outside edible-oil/adulteration domain,8,"""Disgustingly unhygienic"": Hyderabad samosa unit raided; reused oil and stale boiled eggs seized | - The Times of India",https://timesofindia.indiatimes.com/etimes/trending/disgustingly-unhygienic-hyderabad-samosa-unit-raided-reused-oil-and-stale-boiled-eggs-seized/articleshow/129729552.cms,"...varieties, as reported by Deccan Chronicle The proprietor was arrested Owner Abdul Rasheed was arrested, with legal action undertaken against him under food safety laws at Kulsumpura Police Station. The raid, supervised by Task Forc...",e12c3d06-8fd0-4fd0-b6a9-3f57ff7b1753,timesofindia.indiatimes.com,2026-03-22,relevant,0.95,"""cooking oil"" adulteration India",373
articles recently,phrase_frequency,1,0.333333,11,11,0.0,0.0,0.024017,0.107843,0.053112,other_candidate,drop,outside edible-oil/adulteration domain,46,FSSAI issues notices to 55 edible oil manufacturers | Ahmedabad News - Times of India,https://timesofindia.indiatimes.com/city/ahmedabad/fssai-issues-notices-to-55-edible-oil-manufacturers/articleshow/111591411.cms,"...ity of India, the reuse of container tins for packaging food is prohibited.â We also published the following articles recently",cbe4d4ee-5939-4478-8f20-3654beaf65d6,timesofindia.indiatimes.com,2024-07-09,relevant,0.7,"FSSAI ""edible oil"" India",169
following articles,phrase_frequency,1,0.333333,11,11,0.0,0.0,0.024017,0.107843,0.053112,other_candidate,drop,outside edible-oil/adulteration domain,46,FSSAI issues notices to 55 edible oil manufacturers | Ahmedabad News - Times of India,https://timesofindia.indiatimes.com/city/ahmedabad/fssai-issues-notices-to-55-edible-oil-manufacturers/articleshow/111591411.cms,"...rds Authority of India, the reuse of container tins for packaging food is prohibited.â We also published the following articles recently",cbe4d4ee-5939-4478-8f20-3654beaf65d6,timesofindia.indiatimes.com,2024-07-09,relevant,0.7,"FSSAI ""edible oil"" India",169
following articles recently,phrase_frequency,1,0.333333,11,11,0.0,0.0,0.024017,0.107843,0.053112,other_candidate,drop,outside edible-oil/adulteration domain,46,FSSAI issues notices to 55 edible oil manufacturers | Ahmedabad News - Times of India,https://timesofindia.indiatimes.com/city/ahmedabad/fssai-issues-notices-to-55-edible-oil-manufacturers/articleshow/111591411.cms,"...rds Authority of India, the reuse of container tins for packaging food is prohibited.â We also published the following articles recently",cbe4d4ee-5939-4478-8f20-3654beaf65d6,timesofindia.indiatimes.com,2024-07-09,relevant,0.7,"FSSAI ""edible oil"" India",169
food safety officers,phrase_frequency,1,0.333333,11,11,0.0,0.0,0.024017,0.107843,0.053112,enforcement/evidence,drop,weak domain term below threshold,8,"""Disgustingly unhygienic"": Hyderabad samosa unit raided; reused oil and stale boiled eggs seized | - The Times of India",https://timesofindia.indiatimes.com/etimes/trending/disgustingly-unhygienic-hyderabad-samosa-unit-raided-reused-oil-and-stale-boiled-eggs-seized/articleshow/129729552.cms,"...taken against him under food safety laws at Kulsumpura Police Station. The raid, supervised by Task Force and Food Safety Officers, aimed to curb such dangers, according to ANI News coverage. They urged locals to report shady food spots, re...",e12c3d06-8fd0-4fd0-b6a9-3f57ff7b1753,timesofindia.indiatimes.com,2026-03-22,relevant,0.95,"""cooking oil"" adulteration India",373
food samples,phrase_frequency,1,0.333333,11,11,0.0,0.0,0.024017,0.107843,0.053112,other_candidate,drop,low score or outside edible-oil/adulteration scope,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,...hout proper licences or traceability. The official said enforcement drives are continuing across the city and food samples have been sent for laboratory testing. More inspections are likely in the coming days. What is Analogue Panee...,06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
safety officers,phrase_frequency,1,0.333333,11,11,0.0,0.0,0.024017,0.107843,0.053112,other_candidate,drop,outside edible-oil/adulteration domain,8,"""Disgustingly unhygienic"": Hyderabad samosa unit raided; reused oil and stale boiled eggs seized | - The Times of India",https://timesofindia.indiatimes.com/etimes/trending/disgustingly-unhygienic-hyderabad-samosa-unit-raided-reused-oil-and-stale-boiled-eggs-seized/articleshow/129729552.cms,"...against him under food safety laws at Kulsumpura Police Station. The raid, supervised by Task Force and Food Safety Officers, aimed to curb such dangers, according to ANI News coverage. They urged locals to report shady food spots, re...",e12c3d06-8fd0-4fd0-b6a9-3f57ff7b1753,timesofindia.indiatimes.com,2026-03-22,relevant,0.95,"""cooking oil"" adulteration India",373
check adulteration,phrase_frequency,1,0.333333,12,10,0.0,0.0,0.026201,0.098039,0.051969,adulteration/fraud,drop,weak domain term below threshold,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,"...eer? While the Food Safety and Standards Authority of India (FSSAI) has issued a lot of tests and measures to check adulteration in milk and milk products, there are certain ways in which you can do the quality check of store-bought panee...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
health risks,phrase_frequency,1,0.333333,12,10,0.0,0.0,0.026201,0.098039,0.051969,other_candidate,drop,outside edible-oil/adulteration domain,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,"...prepared fried chicken. â¢ 6 tins of loose cooking oil (15 litres each). â¢ Artificial chemical food colours. Health Risks to Consumers: â¢ Consumption of such adulterated and unhygienic food may lead to: â¢ Food poisoning, vomiting...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
skimmed milk,phrase_frequency,1,0.333333,12,10,0.0,0.0,0.026201,0.098039,0.051969,other_candidate,drop,non-oil food context without edible-oil signal,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,".... Use your hands Simply mash some paneer using your clean and bare hands. The adulterated paneer is made with skimmed milk, hence, it cannot bear the pressure of hands and will start falling apart when pressure is applied. Use iodin...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
quality standards,phrase_frequency,1,0.333333,13,9,0.0,0.0,0.028384,0.088235,0.050826,other_candidate,drop,outside edible-oil/adulteration domain,15,Fake Paneer In Ahmedabad: Whatâs really on your plate? 10 food joints caught selling fake paneer | Ahmedabad News - The Times of India,https://timesofindia.indiatimes.com/city/ahmedabad/whats-really-on-your-plate-10-food-joints-caught-selling-fake-paneer/articleshow/128725872.cms,"...r laboratory tests revealed the high content of vegetable fat. The establishments whose paneer samples failed quality standards include Barbeque Nation in Nikol, Jay Kalyan Fast Food in Thakkarbapanagar, The Leo Pizza in Bapunagar, Krish...",48716919-e384-4d37-a7c2-b3938c8c3725,timesofindia.indiatimes.com,2026-02-24,irrelevant,,"""oil"" ""food safety"" ""seized"" India",626
manufacturing unit,phrase_frequency,1,0.333333,12,9,0.0,0.0,0.026201,0.088235,0.050499,other_candidate,drop,outside edible-oil/adulteration domain,4,"33 held, 27 establishments sealed in Maharashtra FDA's three-day drive",https://www.hindustantimes.com/cities/mumbai-news/33-held-27-establishments-sealed-in-maharashtra-fda-s-three-day-drive-101780125189075.html,"...e alleged use of chemical substances to artificially ripen them. In Mumbai, action was taken against a noodle manufacturing unit in Dharavi for alleged violations of labelling norms and food safety regulations, with a large quantity of st...",a4201faa-2e70-4413-b9b4-4e991a5f2773,hindustantimes.com,2026-05-30,relevant,0.95,"""edible oil"" adulteration India",466
unhygienic conditions,phrase_frequency,1,0.333333,12,9,0.0,0.0,0.026201,0.088235,0.050499,other_candidate,drop,outside edible-oil/adulteration domain,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,"...sociation with the FSO, they seized large quantities of adulterated food material that was being stored under unhygienic conditions. As per the statement, the establishment was operating without an FSSAI licence. They also found prohibited f...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
coconut,phrase_frequency,1,0.333333,16,8,0.0,0.0,0.034934,0.078431,0.050338,other_candidate,drop,low score or outside edible-oil/adulteration scope,7,"Adulterated Osmania biscuits, fake paneer, rotten eggs: What Hyderabad’s crackdown on eateries has revealed",https://indianexpress.com/article/india/adulterated-osmania-biscuits-fake-paneer-rotten-eggs-what-hyderabads-crackdown-on-eateries-has-revealed-10612335/,"...acid, and PGPR liquid – to prepare cakes and buns. One unit in Begum Bazar was found repackaging low-quality coconut powder under branded labels. Across the 61 raids, officials found fake ginger-garlic paste, adulterated panee...",b73e96cd-56e7-4a46-8c42-578e352771b3,indianexpress.com,2026-04-01,irrelevant,,"""palm oil"" adulteration India",478
laboratory analysis,phrase_frequency,1,0.333333,11,9,0.0,0.0,0.024017,0.088235,0.050171,other_candidate,drop,outside edible-oil/adulteration domain,2,FDA seizes energy drink stock worth Rs 56L over misbranding,https://timesofindia.indiatimes.com/city/aurangabad/fda-seizes-energy-drink-stock-worth-rs-56l-over-misbranding/articleshow/131489352.cms,"...ding firm for being sold in unpackaged form. âSamples from the seized stocks have been collected and sent for laboratory analysis,â A A Chaudhary, assistant commissioner, FDA, Parbhani, said. Meanwhile, FDA seized and destroyed a large qua...",af5d5af3-49a7-43ed-9bad-0c1f703198e7,timesofindia.indiatimes.com,2026-06-04,relevant,0.9,"""edible oil"" adulteration India",386
food business,phrase_frequency,1,0.333333,10,9,0.0,0.0,0.021834,0.088235,0.049844,other_candidate,drop,outside edible-oil/adulteration domain,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,"...ng special raids. The team inspected nearly 45 retail outlets and eight manufacturing units and found several food business operators selling Cheese Analogue products as paneer, misleading consumers. For the unversed, cheese analogue...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
officials seized,phrase_frequency,1,0.333333,10,9,0.0,0.0,0.021834,0.088235,0.049844,enforcement/evidence,drop,weak domain term below threshold,2,FDA seizes energy drink stock worth Rs 56L over misbranding,https://timesofindia.indiatimes.com/city/aurangabad/fda-seizes-energy-drink-stock-worth-rs-56l-over-misbranding/articleshow/131489352.cms,"...ghee was being sold. The samples have been sent for lab testing, Patil said. Crackdown in Parbhani & BeedFDA officials seized bakery products and loose edible oil worth Rs 3.5 lakh in a separate action in Parbhani on May 29. Officials...",af5d5af3-49a7-43ed-9bad-0c1f703198e7,timesofindia.indiatimes.com,2026-06-04,relevant,0.9,"""edible oil"" adulteration India",386
human consumption,phrase_frequency,1,0.333333,14,8,0.0,0.0,0.030568,0.078431,0.049683,other_candidate,drop,outside edible-oil/adulteration domain,5,800 kg fake khoya destroyed: 5 ways to check the purity at home and how to make preservative-free khoya,https://timesofindia.indiatimes.com/life-style/food-news/800-kg-fake-khoya-destroyed-5-ways-to-check-the-purity-at-home-and-how-to-make-preservative-free-khoya/articleshow/131217407.cms,"...ns blue after dropping iodine in it, then it has been adulterated with starch. If not, it is pure and fit for human consumption. Method 2 Another method you can use at home involves a sample of sulphuric acid, which helps test for chemic...",4ee92ac2-8d45-44d3-ae2e-3d4dfea256ea,timesofindia.indiatimes.com,2026-05-20,irrelevant,,"""oil"" ""food safety"" ""seized"" India",659
vegetable oils,phrase_frequency,1,0.333333,12,8,0.0,0.0,0.026201,0.078431,0.049028,other_candidate,drop,low score or outside edible-oil/adulteration scope,45,Zomato under fire for selling ‘analogue paneer’ to restaurants: What is this fake cheese?,https://www.hindustantimes.com/trending/zomato-under-fire-for-selling-analogue-paneer-to-restaurants-what-is-this-fake-cheese-101729494923343.html,...that use this fake cheese to customers. “India loves paneer dishes and restaurants sell fake paneer made with vegetable oils without any disclaimer. They made you believe that you are eating healthy food by eating varieties of paneer...,aea7ac1d-7457-4285-9550-c01cc45864a7,hindustantimes.com,2024-10-21,irrelevant,,"""vegetable oil"" adulteration India",632
oil samples,phrase_frequency,1,0.333333,11,8,0.0,0.0,0.024017,0.078431,0.048701,other_candidate,drop,low score or outside edible-oil/adulteration scope,18,"McDonald's India outlet gets regulatory warning over rotten tomatoes, reused oil",https://www.hindustantimes.com/cities/jaipur-news/mcdonalds-india-outlet-gets-regulatory-warning-over-rotten-tomatoes-reused-oil-101770898007296.html,"...government food safety officer Sushil Chotwani said. That breached food safety norms and ""officials collected oil samples for further testing,"" Chotwani said. McDonald's spokesperson in the United States did not respond to Reuters...",19077b7d-62c6-4986-a427-e92e7979d7d3,hindustantimes.com,2026-02-12,relevant,0.95,"""cooking oil"" adulteration India",282
collected samples,phrase_frequency,1,0.333333,10,8,0.0,0.0,0.021834,0.078431,0.048373,other_candidate,drop,low score or outside edible-oil/adulteration scope,4,"33 held, 27 establishments sealed in Maharashtra FDA's three-day drive",https://www.hindustantimes.com/cities/mumbai-news/33-held-27-establishments-sealed-in-maharashtra-fda-s-three-day-drive-101780125189075.html,"...and 19 establishments sealed. The FDA stated that the crackdown extended beyond banned products, as officials collected samples of packaged drinking water, milk, juices, carbonated beverages, edible oils, sweets, ice cream, toddy, spices...",a4201faa-2e70-4413-b9b4-4e991a5f2773,hindustantimes.com,2026-05-30,relevant,0.95,"""edible oil"" adulteration India",466
analogue paneer,phrase_frequency,1,0.333333,18,5,0.0,0.0,0.039301,0.04902,0.046581,other_candidate,drop,non-oil food context without edible-oil signal,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,"...d food samples have been sent for laboratory testing. More inspections are likely in the coming days. What is Analogue Paneer? As defined by the FSSAI for regulations around all dairy products, âAnalogue means a product in which consti...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
fssai licence,phrase_frequency,1,0.333333,9,7,0.0,0.0,0.019651,0.068627,0.046575,enforcement/evidence,drop,weak domain term below threshold,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,"...as being stored under unhygienic conditions. As per the statement, the establishment was operating without an FSSAI licence. They also found prohibited food colours, including MSK Lion Green and Raspberry Red, evidence of the reuse o...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
banned,phrase_frequency,1,0.333333,12,6,0.0,0.0,0.026201,0.058824,0.046087,enforcement/evidence,drop,weak domain term below threshold,3,FDA seizes 3.4 tonnes of suspect chemically ripened mangoes at APMC,https://www.hindustantimes.com/cities/mumbai-news/fda-seizes-3-4-tonnes-of-suspect-chemically-ripened-mangoes-at-apmc-101780427156417.html,"...ts worth ₹4.74 lakh, taking the total value of seized goods to ₹15.86 lakh, officials said. The drive against banned tobacco products resulted in 37 arrests and the closure of 31 establishments. FDA officials said inspections...",79f1b622-bb63-4727-aa20-b31d9e3baf17,hindustantimes.com,2026-06-03,relevant,0.95,"""edible oil"" adulteration India",503
boil,phrase_frequency,1,0.333333,12,6,0.0,0.0,0.026201,0.058824,0.046087,other_candidate,drop,low score or outside edible-oil/adulteration scope,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,"...ral or artificial, one can use iodine tincture. Add water to a pan, place the paneer in it, and bring it to a boil. Let it cool down, then add a few drops of iodine tincture and see if the color changes to blue, which means...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
